S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Page
4648.,Universal Office,6.05,,8.86,0.00,-0.02,75.00,0.00,,-4.89,186
4649.,Inducto Steel,50.03,,20.10,0.00,-0.75,66.96,21.72,-52.94,-4.89,186
4650.,Music Broadcast,6.10,,210.87,0.00,-6.88,-245.73,37.84,-30.99,-4.90,186
4651.,Oriental Trimex,7.45,10.37,54.76,0.00,-0.23,85.44,2.23,14.95,-4.92,187
4652.,JPT Securities,22.34,,6.72,0.00,-6.56,-32900.00,0.00,-100.00,-4.98,187
4653.,Tijaria Polypipe,4.01,,11.48,0.00,-0.40,56.99,0.00,,-5.05,187
4654.,Filmcity Media,3.12,,9.54,0.00,-0.05,,0.00,-100.00,-5.07,187
4655.,Global Offshore,47.44,,145.85,0.00,0.18,0.96,6.74,-7.16,-5.07,187
4656.,CDG Petchem,156.25,300.62,144.30,0.00,2.73,2766.67,22.18,306.97,-5.10,187
4657.,Chennai Meena,41.72,,31.16,0.00,0.15,122.39,9.47,17.35,-5.14,187
4658.,Indian Terrain,32.40,,164.16,0.00,-0.38,98.26,100.96,17.63,-5.17,187
4659.,JHS Sven.Lab.,10.85,,92.88,0.00,-0.20,98.06,22.28,13.21,-5.19,187
4660.,Hind.Organ.Chem.,29.70,,199.49,0.00,-18.16,-27.69,126.27,-27.73,-5.20,187
4661.,Panther Indl. Pr,67.20,,9.41,0.00,-0.05,-155.56,0.00,,-5.21,187
4662.,Arunis Abode,168.50,,859.35,0.59,14.56,8664.71,31.56,,-5.26,187
4663.,Nectar Lifesci.,14.62,,284.01,0.00,14.27,-9026.09,0.00,-100.00,-5.36,187
4664.,Ramco Systems,408.45,176.25,1528.09,0.00,12.59,229.26,175.78,23.35,-5.40,187
4665.,MSR India,3.96,,24.90,0.00,-0.05,70.59,0.00,,-5.44,187
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,187
4666.,Visa Steel,41.15,,476.47,0.00,-20.22,-73.41,75.85,-49.64,-5.46,187
4667.,India Cements,431.50,,13372.06,0.00,-2.67,102.69,1114.26,18.56,-5.49,187
4668.,Kandagiri Spinng,39.00,,15.02,0.00,-0.63,-65.79,0.63,26.00,-5.54,187
4669.,Cistro Telelink,1.02,,5.24,0.00,-0.01,87.50,0.03,0.00,-5.55,187
4670.,Photon Capital,114.59,,17.30,0.00,0.22,15.79,0.04,-42.86,-5.55,187
4671.,Rasandik Engg.,62.98,21.14,37.63,0.00,-2.13,24.47,12.63,-22.52,-5.56,187
4672.,Sanmitra Commerc,15.44,232.88,76.85,0.00,0.01,-83.33,0.00,,-5.58,187
4673.,Innokaiz India,13.00,,13.29,0.00,-1.74,-102.33,5.76,3.41,-5.62,187
4674.,Krishna Vent.,29.90,,32.29,0.00,-0.28,-3.70,0.04,-66.67,-5.65,187
4675.,Elango Industrie,10.21,,3.90,0.00,-0.01,66.67,0.03,,-5.67,187
4676.,Shyam Century,5.87,,124.55,0.00,0.80,134.78,7.23,-77.24,-5.67,188
4677.,Cian Healthcare,5.01,,12.52,0.00,-4.19,-20.75,11.32,-38.98,-5.70,188
4678.,Indian Acrylics,5.83,,78.89,0.00,-5.75,49.96,102.19,6.58,-5.71,188
4679.,Ahasolar Technol,85.25,14.52,26.28,0.00,-0.12,95.83,36.02,56.13,-5.71,188
4680.,Vallabh Steels,9.19,,4.55,0.00,-0.30,11.76,0.00,,-5.73,188
4681.,Swan Defence,1748.50,,9211.47,0.00,-19.86,62.80,39.57,4021.88,-5.76,188
4682.,K-Lifestyle,0.23,,23.51,0.00,-1.13,82.40,0.92,-65.54,-5.85,188
4683.,Boston Bio,9.45,,6.62,0.00,0.04,500.00,0.24,,-5.89,188
4684.,ACI Infocom,1.02,,11.27,0.00,-0.01,98.11,0.00,,-5.89,188
4685.,Exicom Tele-Sys.,100.12,,1392.47,0.00,-68.81,-291.37,281.73,83.69,-5.94,188
4686.,Tusaldah,154.35,,36.17,0.00,-0.15,,0.00,-100.00,-5.97,188
4687.,PBM Polytex,49.08,,33.76,0.00,-1.23,24.07,34.96,-17.88,-5.99,188
4688.,GKB Ophthalmics,57.58,,29.02,0.00,1.84,231.15,30.17,15.42,-6.00,188
4689.,Akshar Spintex,0.49,,38.59,0.00,-1.97,-23.12,22.34,-3.67,-6.01,188
4690.,Ashoka Refinerie,12.75,,4.34,0.00,-0.04,0.00,0.00,-100.00,-6.06,188
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,188
4691.,Lynx Machinery,170.50,,17.49,0.00,-0.36,-56.52,0.00,,-6.07,188
4692.,Rapicut Carbides,122.20,,65.62,0.00,1.25,365.96,15.82,76.76,-6.11,188
4693.,Suumaya Indust.,1.57,,10.57,0.00,-862.42,-3784.23,15.66,80.62,-6.12,188
4694.,Cemantic Infra,4.28,,10.73,0.00,-0.10,-25.00,0.00,,-6.14,188
4695.,Flex Foods,42.87,,53.37,1.17,-8.48,39.94,49.18,34.04,-6.18,188
4696.,A B M Internatl.,35.70,,33.59,0.00,-0.41,19.61,10.46,-37.37,-6.25,188
4697.,Hi-Klass Trading,25.83,,53.20,0.00,-0.13,-140.62,0.45,45.16,-6.25,188
4698.,Eastern Treads,30.73,,16.08,0.00,-0.53,43.62,16.13,13.27,-6.31,188
4699.,Shreyas Interm.,7.63,,54.06,0.00,-0.24,52.94,10.37,,-6.34,188
4700.,Tasty Dairy,6.71,,13.71,0.00,-2.06,13.45,1.04,-20.00,-6.34,188
4701.,Subex,9.23,,520.28,0.00,2.86,332.52,68.91,-7.08,-6.44,189
4702.,Yash Mgmt & Sat.,9.46,,16.08,0.00,0.26,111.65,7.68,-4.48,-6.49,189
4703.,Salem Erode Inv.,33.26,,38.13,0.00,-1.20,-41.18,0.89,-25.83,-6.67,189
4704.,Bhagawati Oxygen,39.55,914.00,9.14,0.00,0.11,157.89,0.29,-6.45,-6.68,189
4705.,Suryavanshi Spg.,22.50,29.05,11.04,0.00,-0.90,43.62,1.37,756.25,-6.70,189
4706.,Pro CLB,41.45,,21.15,0.00,0.07,170.00,0.10,400.00,-6.72,189
4707.,M T N L,28.85,,1817.55,0.00,-960.20,-7.85,189.76,-28.83,-6.76,189
4708.,Oscar Global,16.15,,5.33,0.00,-0.03,-50.00,0.00,,-6.81,189
4709.,Hind.Urban Infra,1939.80,,279.89,0.00,-23.37,-159.74,115.23,-20.98,-6.82,189
4710.,Andrew Yule & Co,20.66,208.71,1010.17,0.00,-0.02,-100.13,71.52,-20.02,-6.83,189
4711.,Chambal Brewer,15.82,,11.85,0.00,-0.03,-200.00,0.00,,-6.90,189
4712.,HB Leasing &Fin.,12.80,,16.46,0.00,-0.10,0.00,0.04,33.33,-6.93,189
4713.,Ganesh Holdings,107.45,,9.57,0.00,-0.04,-100.00,0.00,-100.00,-6.93,189
4714.,Jattashankar Ind,396.00,1241.71,173.84,0.00,0.31,381.82,55.94,279600.00,-6.93,189
4715.,Bohra Industries,15.21,,32.20,0.00,-0.64,5.88,0.00,,-7.01,189
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,189
4716.,Quadrant Future,293.20,,1172.80,0.00,-15.89,-346.35,34.40,-13.20,-7.01,189
4717.,ACE EduTremd Ltd,4.67,,4.28,0.00,-0.12,36.84,0.00,,-7.12,189
4718.,Sampre Nutrition,22.59,,197.41,0.00,0.89,641.67,10.00,37.55,-7.13,189
4719.,Bombay Wire,51.55,,27.53,0.00,-0.01,91.67,0.00,,-7.15,189
4720.,Golech.Glob.Fin.,21.00,,11.55,0.00,-0.21,-2200.00,3.57,-61.86,-7.28,189
4721.,Globus Power,12.93,,127.94,0.00,-0.04,0.00,0.00,,-7.29,189
4722.,Aditya Ispat,8.55,,4.57,0.00,-0.97,-79.63,8.69,-35.15,-7.34,189
4723.,Puretrop Fruits,182.30,64.86,145.29,0.00,2.71,177.84,26.37,33.32,-7.35,189
4724.,Alchemist Corp.,26.30,,12.91,0.00,-0.05,37.50,0.00,,-7.45,189
4725.,Baron Infotech,1.51,,1.54,0.00,-0.09,83.02,0.00,-100.00,-7.55,189
4726.,Jetmall Spices,40.03,,23.99,0.00,-0.32,-1500.00,0.18,-50.00,-7.56,190
4727.,Yash Innoventure,36.49,,58.49,0.00,-2.16,-272.41,0.40,,-7.58,190
4728.,Banka Bioloo,64.42,,70.36,0.00,-1.08,81.44,13.01,4.83,-7.61,190
4729.,Skyline Ventures,24.75,,9.82,0.00,-0.20,-400.00,0.00,,-7.70,190
4730.,Mefcom Capital,12.87,,58.82,0.00,-1.33,-171.95,17.31,-85.01,-7.74,190
4731.,Shamrock Indl.,19.40,,10.53,0.00,-0.32,-1500.00,0.00,,-7.78,190
4732.,NACL Industries,159.51,,3732.75,0.00,2.55,8.05,456.94,3.78,-7.80,190
4733.,Standard Inds.,14.74,,94.82,0.00,-6.65,-222.82,6.38,40.84,-7.81,190
4734.,Kabra Drugs,26.90,53.59,63.77,0.00,1.84,560.00,19.76,,-7.82,190
4735.,Sparc Electrex,4.94,,5.03,0.00,-0.05,-350.00,0.13,-90.30,-7.92,190
4736.,Ekam Leasing,5.15,,3.09,0.00,-0.40,-81.82,0.02,-50.00,-7.95,190
4737.,Dhanlaxmi Fabric,58.31,,50.03,0.00,-1.31,-363.33,3.84,9.09,-8.07,190
4738.,The Ravalgaon,969.90,,32.98,0.00,-0.65,7.14,0.00,,-8.10,190
4739.,Bodhtree Consul.,26.91,54.48,58.84,0.00,0.42,158.33,3.58,175.38,-8.10,190
4740.,Vivimed Labs.,7.32,,60.69,0.00,-7.30,-42.02,20.61,-16.79,-8.10,190
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,190
4741.,Nakoda Group,27.22,,47.74,0.00,0.25,139.06,14.79,57.68,-8.11,190
4742.,Advance Meter.,21.55,,34.61,0.00,-3.08,-1383.33,4.06,-1.93,-8.13,190
4743.,Organic Coatings,25.22,,25.16,0.00,-0.60,14.29,5.53,-10.23,-8.15,190
4744.,Zodiac Cloth. Co,81.08,,222.63,0.00,-11.82,16.05,36.51,-14.80,-8.18,190
4745.,Orchasp Ltd,2.66,21.58,92.15,0.00,0.21,101.47,7.54,64.27,-8.26,190
4746.,Walchan. Inds.,152.07,,1031.67,0.00,-11.90,21.45,51.78,-23.70,-8.33,190
4747.,Oil Country,46.44,,241.44,0.00,-21.57,-63.91,10.05,-55.05,-8.41,190
4748.,Sayaji Industr,69.13,,174.76,0.00,-9.11,-1970.45,239.26,15.94,-8.46,190
4749.,Shentracon Chem.,48.58,165.85,21.56,0.00,-0.48,50.00,0.00,,-8.49,190
4750.,Landmark Prop.,6.43,1725.00,86.25,0.00,-0.03,99.23,0.00,-100.00,-8.51,190
4751.,Vista Pharma.,7.92,,48.75,0.00,-2.59,-167.01,1.46,-41.37,-8.53,191
4752.,Noida Tollbridg.,3.72,9.36,69.26,0.00,3.77,165.35,10.52,6.37,-8.55,191
4753.,Inspire Films,10.50,,14.29,0.00,-1.73,53.99,6.93,72.39,-8.59,191
4754.,Steelman Telecom,82.85,,80.17,0.00,-8.97,18.08,116.82,15.09,-8.61,191
4755.,India Homes,12.46,,496.01,0.00,-3.15,30.16,0.00,,-8.76,191
4756.,Wardwizard Foods,7.78,,200.05,0.00,0.58,109.67,67.44,1521.15,-8.78,191
4757.,Rajasthan Cylind,35.00,,11.77,0.00,-0.24,33.33,0.00,,-8.79,191
4758.,Aplab,68.24,15.26,156.89,0.00,0.78,109.27,11.29,-29.17,-8.82,191
4759.,Meesho,170.31,,76863.13,0.00,-289.36,,2503.87,,-8.85,191
4760.,Kerala Ayurveda,270.95,,326.77,0.00,-6.36,-285.38,34.84,14.57,-9.01,191
4761.,Ashiana Ispat,27.35,,21.78,0.00,0.34,135.99,408.46,1167.72,-9.02,191
4762.,Anjani Portland,143.39,,421.20,0.00,-4.88,82.58,111.53,59.17,-9.07,191
4763.,HB Stockholdings,63.28,,45.17,1.58,-4.60,-3638.46,0.41,-79.60,-9.14,191
4764.,Innovassynth Inv,77.91,,587.83,0.00,-4.94,17.31,0.00,,-9.18,191
4765.,Bharat Immunolog,17.80,,76.86,0.00,-4.92,-59.74,0.00,-100.00,-9.27,191
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,191
4766.,Steelco Gujarat,50.58,,25.12,0.00,-7.87,-140.67,19.02,9910.53,-9.27,191
4767.,Shemaroo Entert.,97.70,,266.92,0.00,-45.54,-72.62,143.38,-11.53,-9.31,191
4768.,Next Mediaworks,5.73,,38.33,0.00,-1.03,-6.19,0.00,,-9.35,191
4769.,KIOCL,339.90,,20657.46,0.00,-17.16,75.21,142.54,783.15,-9.48,191
4770.,Praxis Home,7.70,,143.08,0.00,81.04,-460.94,21.22,-19.47,-9.63,191
4771.,Indergiri Fin.,21.94,,11.10,0.00,-1.31,-3175.00,0.18,-66.04,-9.66,191
4772.,Trinity League,13.34,,10.56,0.00,-0.10,-100.00,0.00,-100.00,-9.67,191
4773.,Lloyds Luxuries,63.95,,152.70,0.00,-34.73,-42.94,27.57,25.55,-9.68,191
4774.,Ideaforge Tech,401.30,,1736.35,0.00,-33.85,-40.92,31.55,79.16,-9.69,191
4775.,Spencer's Retail,31.48,,283.74,0.00,-63.79,26.83,445.15,-14.07,-9.72,191
4776.,MPS Pharmaa,1.68,,3.21,0.00,-0.22,0.00,0.00,,-9.79,192
4777.,Paul Merchants,563.00,,173.63,0.00,-6.61,55.56,593.41,-39.83,-9.84,192
4778.,Olympic Cards,2.95,,4.81,0.00,-1.00,-11.11,3.05,32.03,-9.91,192
4779.,Accord Synergy,27.60,11.14,9.58,0.00,1.15,217.35,19.14,47.91,-9.91,192
4780.,Gem Spinners,4.41,,27.07,0.00,-0.09,10.00,0.00,,-9.92,192
4781.,Brooks Lab.,65.52,13.82,193.00,0.00,7.98,301.52,23.45,12.79,-9.93,192
4782.,Innocorp,4.90,,3.89,0.00,-0.08,-33.33,0.00,,-10.00,192
4783.,BNR Udyog,35.83,,10.75,0.00,-0.08,-120.00,0.11,-74.42,-10.04,192
4784.,Jagsonpal Services,58.45,,106.41,0.00,-0.99,-1000.00,0.00,-100.00,-10.06,192
4785.,Northlink Fiscal,14.31,,7.51,0.00,-0.10,64.29,0.05,-28.57,-10.10,192
4786.,Norris Medicines,13.63,,13.63,0.00,-0.72,-100.00,2.00,57.48,-10.13,192
4787.,One 97,1138.80,671.32,72852.24,0.00,21.00,149.74,2061.00,24.23,-10.14,192
4788.,Aanchal Ispat,12.39,10.64,3.51,0.00,0.57,359.09,19.42,-42.54,-10.21,192
4789.,Indo-City Info.,11.72,,12.19,0.00,-0.03,82.35,0.04,-97.65,-10.22,192
4790.,Tapi Fruit,64.00,,27.52,0.00,-1.00,-35.14,10.92,18.70,-10.28,192
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,192
4791.,Ace Integrated,19.30,,19.69,0.00,-0.04,-300.00,0.17,-94.62,-10.30,192
4792.,Neueon Corporation,8.48,,47.95,0.00,-88.91,-269.12,4.12,,-10.37,192
4793.,Amagi Media Labs,375.65,,8126.77,0.00,6.47,109.80,704.82,34.58,-10.42,192
4794.,Andhra Cements,59.19,,545.57,0.00,-44.14,-0.94,110.26,66.23,-10.52,192
4795.,Drone Destinatio,53.20,,129.81,0.00,1.51,48.04,14.84,7.30,-10.52,192
4796.,Omkar Spl.Chem.,5.57,,11.46,0.00,-2.90,-27.19,3.74,-49.18,-10.53,192
4797.,M M Rubber,77.50,,48.29,0.00,-0.41,84.11,10.30,-5.07,-10.55,192
4798.,Vivo Collaborat.,76.00,,15.31,0.00,-2.03,-394.20,0.00,-100.00,-10.56,192
4799.,Bijoy Hans,50.10,,37.58,0.00,-0.31,-121.43,0.00,-100.00,-10.60,192
4800.,Waterbase,40.72,,168.69,0.00,-5.41,-119.03,81.72,31.59,-10.62,192
4801.,Tradewell Hold,75.94,12.25,22.78,0.00,1.16,1066.67,0.28,-85.26,-10.68,193
4802.,Cura Tech.,79.58,,78.78,0.00,-0.01,50.00,0.12,,-10.69,193
4803.,Yuranus Infrast.,155.20,,54.32,0.00,0.25,196.15,2.93,-58.44,-10.73,193
4804.,Kshitij Polyline,2.11,,32.55,0.00,0.51,113.08,11.97,-8.42,-10.76,193
4805.,Rollatainers,1.25,,31.27,0.00,-0.62,-19.31,0.00,,-10.82,193
4806.,Future Enterp.,0.45,,32.09,0.00,-1422.11,-118.40,7.89,-97.55,-10.84,193
4807.,Spel Semiconduct,135.85,,626.54,0.00,-12.47,53.91,1.53,10.07,-10.85,193
4808.,Sturdy Industrie,0.23,,3.48,0.00,-0.24,83.56,0.00,-100.00,-10.90,193
4809.,Kalpa Commer.,8.67,,8.89,0.00,0.01,-75.00,7.00,,-10.94,193
4810.,Orosil Smiths,4.25,15.82,17.56,0.00,0.24,340.00,0.85,1316.67,-10.95,193
4811.,Digikore Studios,63.70,,80.68,0.00,6.11,116.67,34.47,52.72,-11.06,193
4812.,Delta Manufact.,65.41,,70.98,0.00,-2.41,14.89,14.15,-1.60,-11.08,193
4813.,Kairosoft AI,43.76,,5.18,0.00,0.70,112.12,1.23,,-11.10,193
4814.,Loyal Textile,199.25,,96.04,0.00,-11.34,72.60,106.54,-42.50,-11.10,193
4815.,Compuage Info.,1.37,,11.75,0.00,-137.42,-1417.55,388.94,-69.83,-11.29,193
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,193
4816.,Thrive Future Habitats,125.00,,119.51,0.00,-0.42,-200.00,0.37,68.18,-11.44,193
4817.,Prism Finance,26.96,,17.52,0.00,-0.56,-354.55,0.08,-96.40,-11.51,193
4818.,Vanta Bioscience,19.50,,13.87,0.00,-1.82,12.08,0.30,-70.87,-11.58,193
4819.,I Power Solution,22.31,,13.16,0.00,-0.14,-100.00,0.00,,-11.63,193
4820.,Golden Legand Ls,11.34,1.67,16.86,0.00,8.37,1802.27,76.70,2210.24,-11.71,193
4821.,Arcee Industries,12.75,,6.55,0.00,-0.18,-63.64,0.08,33.33,-12.07,193
4822.,Shashijit Infra.,3.13,,22.75,0.00,-0.15,71.15,6.01,25.21,-12.28,193
4823.,Aimco Pesticides,56.89,,55.65,0.00,-4.02,-279.25,45.60,-17.57,-12.42,193
4824.,Parmax Pharma,32.45,,12.14,0.00,-2.08,-845.45,2.53,-72.74,-12.45,193
4825.,ISL Consulting,29.28,,70.27,0.00,-0.65,-350.00,5.64,-26.75,-12.47,193
4826.,Kothari Indl,197.10,,2129.11,0.00,-6.56,-7388.89,49.50,128.01,-12.59,194
4827.,SEL Mfg. Co,27.10,,89.80,0.00,-44.22,-5.11,5.31,8.59,-12.62,194
4828.,Raj Television,41.13,,213.52,0.00,0.17,142.86,15.76,-56.14,-12.70,194
4829.,MPIL Corporation,408.00,,23.26,0.11,0.10,11.11,0.01,0.00,-12.79,194
4830.,Shalimar Paints,59.87,,501.18,0.00,-14.14,27.93,133.81,-7.55,-12.80,194
4831.,Gallops Enterp.,17.62,,8.83,0.00,0.03,137.50,0.00,,-12.81,194
4832.,Astec Lifescienc,569.45,,1268.83,0.00,-24.42,36.64,73.72,-25.20,-12.86,194
4833.,Sparkle GoldRock,75.12,480.57,33.64,0.00,0.32,3300.00,13.27,,-12.93,194
4834.,Xelpmoc Design,131.15,,193.57,0.00,-1.93,-58.20,0.76,-53.37,-12.95,194
4835.,Veranda Learning,206.83,,1980.02,0.00,95.64,154.52,126.74,19.72,-12.96,194
4836.,NMDC Steel,39.59,,11602.27,0.00,-114.78,80.72,3389.90,122.68,-12.97,194
4837.,Restile Ceramics,6.12,,60.15,0.00,0.49,288.46,1.97,535.48,-12.98,194
4838.,One Mobikwik,197.90,,1556.65,0.00,-26.98,-420.62,268.30,-7.34,-13.13,194
4839.,Ind-Agiv Commer.,70.00,,21.40,0.00,-0.29,54.69,0.36,-64.36,-13.14,194
4840.,Purple Finance,54.94,,299.01,0.00,0.01,100.55,13.37,254.64,-13.17,194
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,194
4841.,Celebrity Fash.,7.15,,42.67,0.00,-3.95,5.50,42.52,8.06,-13.18,194
4842.,Supra Trends,14.50,,19.63,0.00,-0.15,-114.29,2.47,,-13.23,194
4843.,Prashant India,18.10,,7.67,0.00,10.03,-666.67,0.01,-91.67,-13.33,194
4844.,Ortel Commu.,1.40,,4.62,0.00,-9.31,-278.46,10.47,-42.41,-13.42,194
4845.,Aksh Optifibre,5.47,,89.00,0.00,-3.05,65.06,31.19,19.41,-13.45,194
4846.,Winsome Yarns,1.69,,11.95,0.00,-3.66,-94.68,0.78,85.71,-13.51,194
4847.,Purohit Const.,14.19,,6.25,0.00,0.10,211.11,0.19,,-13.60,194
4848.,Piccadily Sugar,36.40,45.26,84.63,0.00,0.19,112.26,0.81,-37.21,-13.66,194
4849.,Global Longlife,19.86,,20.85,0.00,-1.32,-206.45,0.00,-100.00,-13.69,194
4850.,Bloom Dekor,11.99,,8.21,0.00,-0.51,-59.38,0.60,-28.57,-13.89,194
4851.,T. Spiritual,1.92,,3.84,0.00,-0.04,0.00,0.00,,-13.99,195
4852.,GCM Securit.,0.70,,13.30,0.00,-0.26,-333.33,-0.46,-206.98,-14.12,195
4853.,Alan Scott Ente.,280.95,,160.64,0.00,-0.90,0.00,8.81,29.75,-14.21,195
4854.,Ramasigns Indus.,1.17,,3.34,0.00,0.63,165.62,0.19,-82.57,-14.30,195
4855.,Visagar Polytex,0.58,,16.98,0.00,-0.30,28.57,0.00,,-14.42,195
4856.,Fourth Gen.,9.62,,3.42,0.00,-0.19,-733.33,0.00,-100.00,-14.50,195
4857.,Khandwala Sec.,18.93,,28.88,0.00,0.24,0.00,3.40,8.28,-14.51,195
4858.,TCI Industries,1350.00,,121.50,0.00,0.18,141.86,1.26,200.00,-14.63,195
4859.,Rap Corp,33.80,0.48,19.88,0.00,43.00,11415.79,62.12,,-15.04,195
4860.,Clenon Enterpri,57.12,,62.49,0.00,-0.59,-146.46,0.49,,-15.12,195
4861.,GTT Data,68.80,,262.78,0.00,-1.09,-17.98,36.77,938.70,-15.35,195
4862.,Cerebra Integr.,5.50,,66.65,0.00,-9.65,13.80,2.21,-81.86,-15.41,195
4863.,Cybele Industrie,34.10,3.64,36.47,0.00,6.88,218.83,11.30,231.38,-15.59,195
4864.,Manugraph India,14.91,,45.35,0.00,-1.08,89.47,14.20,14.42,-15.63,195
4865.,Srestha Finvest,0.29,,47.56,0.00,-10.78,27.26,1.24,-65.27,-15.84,195
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,195
4866.,K G Denim,15.56,,39.89,0.00,1.82,115.04,8.04,-46.54,-15.85,195
4867.,Relic Tech.,72.00,,37.08,0.00,0.16,14.29,0.60,-4.76,-15.87,195
4868.,Pearl Polymers,20.44,,34.40,0.00,-1.94,-943.48,4.50,-8.72,-15.93,195
4869.,Gogia Capital,80.00,,50.57,0.00,-0.24,-120.87,0.29,-89.82,-16.07,195
4870.,Cupid Breweries,41.50,,215.73,0.00,-0.21,-10.53,0.00,-100.00,-16.07,195
4871.,Naturite Agro,244.85,,129.67,0.00,0.70,145.45,12.19,1254.44,-16.07,195
4872.,Galada Power,4.06,,3.60,0.00,0.19,-500.00,0.00,,-16.10,195
4873.,Tierra Agrotech,47.44,,311.18,0.00,-5.69,9.11,14.73,207.52,-16.34,195
4874.,Umiya Tubes,29.55,28.57,38.29,0.00,1.20,1600.00,4.33,,-16.46,195
4875.,Phaarmasia,108.15,94.71,73.87,0.00,1.74,371.88,16.55,179.09,-16.47,195
4876.,Asian Petroprod.,9.28,,22.79,0.00,-0.05,88.64,43.71,,-16.51,196
4877.,Cadsys (India),48.50,,48.51,0.00,-22.19,-82.85,69.20,15.05,-16.91,196
4878.,Zota Health Care,1314.20,,4359.39,0.08,-16.19,-31.82,128.95,91.66,-16.98,196
4879.,Aerpace Indus,27.34,,420.65,0.00,-3.45,-297.26,0.00,,-16.99,196
4880.,Libord Securitie,18.29,,9.15,0.00,0.02,-80.00,0.00,,-17.09,196
4881.,Adarsh Plant,30.90,,30.62,0.00,0.01,-96.77,3.63,-29.92,-17.41,196
4882.,Pharmaids Pharma,42.46,,149.75,0.00,-2.53,-171.97,8.61,64.31,-17.43,196
4883.,SecureKloud Tech,22.85,,76.34,0.00,-15.33,-1875.00,33.80,-22.21,-17.55,196
4884.,Som Datt Finance,113.80,,193.61,0.00,-0.48,7.69,0.26,766.67,-17.85,196
4885.,Blue Chip India,2.57,,14.21,0.00,-0.16,-1500.00,0.00,,-17.91,196
4886.,Eurotex Industri,12.45,5.26,10.89,0.00,2.04,234.21,0.04,33.33,-18.07,196
4887.,IL&FS Transport,2.69,,88.49,0.00,-248.01,-1100.85,806.58,7.66,-18.13,196
4888.,Kuberan Global,40.64,,8.56,0.00,-0.22,4.35,0.00,-100.00,-18.22,196
4889.,Daikaffil Chem,56.05,,33.63,0.00,-1.34,-131.03,6.04,,-18.57,196
4890.,NRB Indl Bearing,31.11,,75.44,0.00,-7.02,6.15,17.86,9.17,-18.67,196
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,196
4891.,Cambridge Tech.,35.67,,70.02,0.00,-5.21,82.01,44.11,2.46,-18.79,196
4892.,Fynx Capital,66.42,,132.84,0.00,-0.67,-55.81,0.95,1087.50,-18.86,196
4893.,Jointeca Educati,5.10,,5.11,0.00,-0.85,-1.19,0.09,0.00,-19.08,196
4894.,Astron Paper,4.97,,23.11,0.00,-4.49,51.51,0.00,-100.00,-19.37,196
4895.,Cinevista,14.92,,85.70,0.00,0.77,139.90,3.79,18850.00,-19.91,196
4896.,Avasara Finance,16.38,,24.57,0.00,-0.19,-90.00,0.00,,-20.18,196
4897.,Dec.Gold Mines,122.59,,2414.43,0.00,-19.88,74.20,3.06,-16.16,-21.11,196
4898.,Wherrelz IT,198.00,,7.71,0.00,0.23,-11.54,12.79,-29.61,-21.16,196
4899.,Suncity Synth.,10.69,52.90,5.29,0.00,-0.04,78.95,0.09,-83.02,-21.40,196
4900.,Natl. Oxygen,92.80,,46.79,0.00,7.04,9.24,6.37,-39.96,-21.54,196
